Unbroken Algebra,Stabilized Vector,Ideal,Rep,Repeat
A8,v.55,A8,"1x[ 1, 1, 0, 0, 0, 0, 0, 0 ]+4x[ 0, 0, 0, 0, 0, 0, 0, 0 ]+2x[ 1, 0, 0, 0, 0, 0, 0, 0 ]+2x[ 0, 1, 0, 0, 0, 0, 0, 0 ]"
A1,v.11+v.12+v.14+v.16+v.17+v.18+v.19+v.30,A1,"3^25+1^25+2^10"
A4,v.1+v.2+v.9+v.10+v.43,A4,"1x[ 1, 1, 0, 0 ]+36x[ 0, 0, 0, 0 ]+6x[ 0, 1, 0, 0 ]+6x[ 1, 0, 0, 0 ]"
A2,v.1+v.9+v.10+v.12+v.37+v.38,A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 0, 1 ]+8x[ 1, 0 ]"
A1,v.1+v.2+v.10+v.18+v.23+v.32+v.37,A1,"3^4+1^52+2^28"
A1,v.1+v.10+v.12+v.18+v.22+v.25+v.31,A1,"3^1+1^81+2^18"
0,v.1+v.10+v.18+v.21+v.22+v.23+v.24+v.25,0
0,v.10+v.11+v.12+v.13+v.17+v.18+v.23+v.24,0
0,v.11+v.12+v.13+v.14+v.15+v.16+v.17+v.18+v.19,0
A3,v.1+v.2+v.9+v.10+v.22+v.25,A3,"1x[ 1, 1, 0 ]+49x[ 0, 0, 0 ]+7x[ 1, 0, 0 ]+7x[ 0, 1, 0 ]"
A1,v.1+v.2+v.9+v.10+v.22+v.25+v.31,A1,"3^1+1^81+2^18"
A1,v.1+v.2+v.9+v.10+v.22+v.23+v.24+v.25,A1,"3^4+1^52+2^28"
0,v.1+v.9+v.10+v.12+v.16+v.17+v.22+v.23,0
0,v.1+v.10+v.12+v.13+v.14+v.15+v.16+v.17+v.18,0
A2,v.1+v.2+v.3+v.8+v.9+v.10+v.31,A2,"1x[ 1, 1 ]+64x[ 0, 0 ]+8x[ 0, 1 ]+8x[ 1, 0 ]"
0,v.1+v.2+v.8+v.9+v.10+v.13+v.23+v.24,0
0,v.1+v.2+v.9+v.10+v.13+v.14+v.15+v.16+v.17,0
A1,v.1+v.2+v.3+v.8+v.9+v.10+v.14+v.16,A1,"3^1+1^81+2^18"
0,v.1+v.2+v.3+v.8+v.9+v.10+v.14+v.15+v.16,0
0,v.1+v.2+v.3+v.4+v.7+v.8+v.9+v.10+v.15,0
0,v.1+v.2+v.3+v.4+v.5+v.6+v.7+v.8+v.9+v.10,0
